order_id,customer_id,order_timestamp,product_id,quantity,unit_price,status,country
2001,1,8/6/2026,1,20,771.48,completed,Russia
2002,2,8/7/2026,2,14,688.45,suspended,Indonesia
2003,3,8/6/2026,3,9,170.42,completed,China
2004,4,8/6/2026,4,19,52.18,archived,
2005,5,8/3/2026,5,8,754.79,in progress,China
2006,6,8/1/2026,6,13,198.6,inactive,United States
2007,7,8/5/2026,7,,790.02,suspended,China
2008,8,8/6/2026,8,19,50.87,active,Ukraine
2009,9,8/2/2026,9,11,32.64,resolved,China
2010,10,8/4/2026,10,6,187.3,pending,Indonesia
2011,11,8/6/2026,11,13,183.05,inactive,China
2012,12,8/7/2026,12,15,535.98,archived,Portugal
2013,13,8/4/2026,13,12,207.49,archived,Austria
2014,14,8/2/2026,14,3,643.14,on hold,Canada
2015,15,8/6/2026,15,19,590.85,inactive,Russia
2016,16,8/2/2026,16,7,921.45,suspended,Poland
2017,17,,17,19,316.79,active,China
2018,18,8/7/2026,18,8,850.0,active,China
2019,19,8/4/2026,19,15,934.73,on hold,Nigeria
2020,20,8/4/2026,20,8,845.43,resolved,China
,21,8/5/2026,21,10,13.15,resolved,China
2022,22,8/7/2026,22,,396.26,inactive,Sweden
2023,23,8/3/2026,23,5,394.59,resolved,Sweden
2024,24,8/3/2026,,11,563.47,inactive,United States
2025,25,8/7/2026,25,9,461.96,cancelled,China
2026,26,8/6/2026,26,2,88.1,pending,Madagascar
2027,27,8/4/2026,27,15,62.0,inactive,China
2028,28,8/6/2026,28,7,385.74,pending,China
2029,29,8/4/2026,29,8,643.94,suspended,Russia
2030,30,8/6/2026,30,16,470.94,archived,China
2031,31,8/4/2026,31,19,533.27,completed,China
2032,32,8/3/2026,32,5,662.24,archived,China
2033,33,8/5/2026,33,3,424.48,active,Brazil
2034,34,8/1/2026,,1,169.78,pending,Philippines
2035,35,8/2/2026,35,11,817.56,,Poland
2036,36,8/4/2026,36,20,333.44,suspended,Brazil
2037,37,8/5/2026,37,18,862.96,on hold,Sweden
2038,38,,38,2,881.75,inactive,United States
2039,39,8/2/2026,39,17,560.68,resolved,
2040,40,8/7/2026,40,13,530.01,inactive,Czech Republic
2041,41,8/5/2026,41,3,645.55,in progress,Philippines
2042,42,,42,6,913.91,pending,Norway
2043,43,8/7/2026,43,14,781.35,inactive,China
2044,44,8/3/2026,44,14,907.68,in progress,Honduras
2045,45,8/4/2026,45,19,944.94,completed,Japan
2046,46,,46,16,675.12,inactive,Russia
2047,47,8/1/2026,47,7,852.39,in progress,China
2048,48,8/6/2026,48,19,597.4,inactive,China
2049,49,8/4/2026,49,6,842.81,pending,
2050,50,8/7/2026,50,19,346.35,inactive,Russia
2051,51,8/2/2026,51,15,81.39,on hold,Czech Republic
2052,52,8/1/2026,52,20,910.02,cancelled,Indonesia
2053,53,8/4/2026,53,10,272.93,suspended,South Africa
2054,54,8/4/2026,54,5,40.36,suspended,Poland
2055,,8/1/2026,55,15,61.14,cancelled,Ukraine
2056,56,8/5/2026,56,8,314.15,archived,Philippines
2057,57,8/2/2026,57,9,553.22,archived,Ireland
2058,58,8/5/2026,58,13,573.64,completed,Ireland
2059,59,8/2/2026,59,14,58.04,cancelled,Kazakhstan
2060,60,8/3/2026,60,5,437.54,inactive,Indonesia
2061,61,8/4/2026,61,9,536.83,on hold,Bolivia
2062,62,8/5/2026,62,20,915.4,on hold,Portugal
2063,63,8/6/2026,63,14,848.73,pending,
2064,64,8/4/2026,64,2,286.45,cancelled,Russia
2065,65,,65,1,701.91,pending,Mexico
2066,66,8/6/2026,66,,373.4,completed,Netherlands
2067,67,8/3/2026,67,13,594.25,pending,Thailand
2068,68,8/1/2026,68,8,460.54,on hold,Portugal
2069,69,8/3/2026,69,1,732.74,cancelled,Serbia
2070,70,8/4/2026,70,8,468.8,completed,Indonesia
2071,71,8/4/2026,71,19,137.04,cancelled,China
2072,72,8/2/2026,72,3,454.57,on hold,Russia
2073,73,8/5/2026,73,20,147.25,completed,Trinidad and Tobago
2074,74,8/7/2026,74,12,159.75,pending,Japan
2075,75,8/3/2026,75,19,722.94,completed,South Africa
2076,76,8/2/2026,,19,328.2,cancelled,Denmark
2077,77,8/7/2026,77,4,407.09,completed,Honduras
2078,78,8/1/2026,78,11,267.09,inactive,Indonesia
2079,79,8/6/2026,79,13,982.66,completed,Iran
2080,80,8/5/2026,80,9,970.52,pending,Philippines
2081,81,8/3/2026,81,6,482.41,archived,Russia
2082,82,8/5/2026,82,5,133.26,active,China
2083,83,8/1/2026,83,14,642.7,resolved,Japan
2084,84,8/6/2026,84,17,295.66,completed,China
2085,85,8/3/2026,85,9,299.59,active,Ukraine
2086,86,8/6/2026,86,8,350.22,,Mongolia
2087,87,8/7/2026,87,18,244.98,completed,South Korea
2088,88,8/3/2026,88,18,616.79,resolved,Czech Republic
2089,89,8/6/2026,89,1,407.5,in progress,Colombia
2090,90,8/7/2026,90,1,15.54,pending,Portugal
2091,91,8/3/2026,91,1,520.5,active,Peru
2092,92,8/2/2026,92,10,511.08,in progress,
2093,93,8/5/2026,93,14,,active,Nicaragua
2094,94,8/3/2026,94,10,551.71,completed,Laos
2095,95,8/3/2026,95,11,935.88,inactive,Portugal
2096,96,8/2/2026,96,2,990.62,archived,China
2097,97,8/3/2026,97,13,811.78,active,Philippines
2098,98,8/6/2026,98,9,169.28,cancelled,Indonesia
2099,99,8/4/2026,99,14,210.03,cancelled,Denmark
2100,100,8/2/2026,100,6,,pending,Panama
2101,101,8/3/2026,101,18,2.87,in progress,Russia
2102,102,8/4/2026,102,3,884.14,in progress,Indonesia
2103,103,8/6/2026,103,14,437.04,completed,China
2104,104,8/2/2026,,6,124.63,pending,China
2105,105,8/1/2026,105,17,875.21,completed,China
2106,106,8/2/2026,106,4,920.38,pending,Armenia
2107,107,8/4/2026,107,6,814.82,cancelled,Mexico
2108,108,8/7/2026,108,5,191.88,cancelled,Slovenia
2109,109,8/7/2026,109,16,27.36,suspended,Argentina
2110,110,8/4/2026,110,,260.01,on hold,Brazil
2111,111,8/7/2026,111,19,800.83,cancelled,Greece
2112,112,8/4/2026,112,1,551.64,on hold,Russia
2113,113,8/3/2026,113,18,321.01,completed,Poland
2114,114,8/2/2026,114,11,146.46,on hold,Philippines
2115,115,8/7/2026,115,5,660.47,on hold,Russia
