order_id,customer_id,order_timestamp,product_id,quantity,unit_price,status,country
1,1,8/7/2026,1,5,630.19,error: undefined method `first' for nil:NilClass,Vietnam
2,2,8/7/2026,2,1,326.51,error: undefined method `first' for nil:NilClass,Colombia
3,3,8/7/2026,3,20,12.69,error: undefined method `first' for nil:NilClass,Indonesia
4,4,8/7/2026,4,18,940.67,error: undefined method `first' for nil:NilClass,Peru
5,5,8/7/2026,5,10,606.02,error: undefined method `first' for nil:NilClass,Poland
6,6,8/7/2026,6,16,905.39,error: undefined method `first' for nil:NilClass,
7,7,8/7/2026,7,10,838.15,error: undefined method `first' for nil:NilClass,China
8,8,8/7/2026,8,6,105.69,error: undefined method `first' for nil:NilClass,Dominican Republic
9,9,8/7/2026,9,23,,error: undefined method `first' for nil:NilClass,Indonesia
10,10,8/7/2026,10,12,,error: undefined method `first' for nil:NilClass,Russia
11,11,8/7/2026,11,14,874.01,error: undefined method `first' for nil:NilClass,Philippines
12,12,8/7/2026,12,24,501.6,error: undefined method `first' for nil:NilClass,Greenland
13,13,8/7/2026,13,8,427.42,,China
14,14,8/7/2026,14,19,589.09,error: undefined method `first' for nil:NilClass,China
15,15,8/7/2026,15,18,12.57,error: undefined method `first' for nil:NilClass,Ukraine
16,16,8/7/2026,16,1,987.29,error: undefined method `first' for nil:NilClass,Czech Republic
,17,8/7/2026,17,5,,error: undefined method `first' for nil:NilClass,Philippines
18,18,8/7/2026,18,19,406.62,error: undefined method `first' for nil:NilClass,China
19,19,8/7/2026,19,3,262.46,error: undefined method `first' for nil:NilClass,Azerbaijan
20,20,8/7/2026,20,12,949.84,error: undefined method `first' for nil:NilClass,Indonesia
21,21,8/7/2026,21,14,,error: undefined method `first' for nil:NilClass,China
22,22,8/7/2026,22,11,185.27,error: undefined method `first' for nil:NilClass,Russia
23,23,8/7/2026,23,24,981.56,error: undefined method `first' for nil:NilClass,Indonesia
24,24,8/7/2026,24,8,654.82,error: undefined method `first' for nil:NilClass,Indonesia
25,25,8/7/2026,25,6,280.71,error: undefined method `first' for nil:NilClass,Honduras
26,26,8/7/2026,26,17,374.45,error: undefined method `first' for nil:NilClass,Philippines
27,,8/7/2026,27,1,538.0,error: undefined method `first' for nil:NilClass,China
28,28,8/7/2026,28,13,330.85,error: undefined method `first' for nil:NilClass,China
29,29,8/7/2026,29,24,,error: undefined method `first' for nil:NilClass,China
30,30,8/7/2026,30,21,172.57,error: undefined method `first' for nil:NilClass,France
,31,8/7/2026,31,6,850.49,error: undefined method `first' for nil:NilClass,Chile
32,32,8/7/2026,32,25,24.78,error: undefined method `first' for nil:NilClass,
33,33,8/7/2026,33,22,598.78,error: undefined method `first' for nil:NilClass,Indonesia
34,34,8/7/2026,34,9,427.1,error: undefined method `first' for nil:NilClass,Chile
35,35,8/7/2026,35,15,329.62,error: undefined method `first' for nil:NilClass,China
36,36,8/7/2026,36,14,531.74,error: undefined method `first' for nil:NilClass,China
37,37,8/7/2026,37,7,636.05,error: undefined method `first' for nil:NilClass,Portugal
38,38,8/7/2026,38,4,802.37,error: undefined method `first' for nil:NilClass,China
39,39,8/7/2026,39,17,644.64,error: undefined method `first' for nil:NilClass,
40,,8/7/2026,40,3,105.93,error: undefined method `first' for nil:NilClass,China
