order_id,customer_id,order_timestamp,product_id,quantity,unit_price,status,country
101,1,8/5/2026,1,,670.85,error: undefined method `first' for nil:NilClass,Bulgaria
102,2,8/3/2026,2,9,764.44,error: undefined method `first' for nil:NilClass,Pakistan
,3,8/7/2026,3,19,487.71,error: undefined method `first' for nil:NilClass,Venezuela
104,4,8/7/2026,4,,427.77,error: undefined method `first' for nil:NilClass,Bulgaria
105,5,8/7/2026,5,13,585.59,error: undefined method `first' for nil:NilClass,France
106,6,8/3/2026,6,5,342.54,error: undefined method `first' for nil:NilClass,Portugal
107,7,8/1/2026,7,16,320.33,error: undefined method `first' for nil:NilClass,Democratic Republic of the Congo
108,8,8/7/2026,8,19,803.09,,Indonesia
109,9,8/2/2026,9,16,867.46,error: undefined method `first' for nil:NilClass,Indonesia
110,10,8/2/2026,10,2,897.23,error: undefined method `first' for nil:NilClass,Egypt
111,11,8/5/2026,11,16,,,China
112,12,8/2/2026,12,1,127.75,error: undefined method `first' for nil:NilClass,Philippines
113,13,8/4/2026,13,7,463.54,error: undefined method `first' for nil:NilClass,China
114,14,8/6/2026,14,16,,error: undefined method `first' for nil:NilClass,Japan
115,15,8/6/2026,15,6,261.12,error: undefined method `first' for nil:NilClass,United States
,16,8/1/2026,16,17,842.7,error: undefined method `first' for nil:NilClass,Czech Republic
117,17,8/3/2026,17,7,269.28,error: undefined method `first' for nil:NilClass,Brazil
118,18,8/1/2026,18,14,691.57,error: undefined method `first' for nil:NilClass,Denmark
119,19,8/3/2026,19,16,567.24,error: undefined method `first' for nil:NilClass,Benin
120,,8/2/2026,20,4,616.59,error: undefined method `first' for nil:NilClass,
121,21,8/5/2026,21,13,241.67,error: undefined method `first' for nil:NilClass,Indonesia
122,22,,22,18,418.45,error: undefined method `first' for nil:NilClass,Pakistan
123,23,8/6/2026,23,2,523.39,error: undefined method `first' for nil:NilClass,China
124,24,8/2/2026,24,19,110.49,error: undefined method `first' for nil:NilClass,
125,25,8/6/2026,25,13,100.51,error: undefined method `first' for nil:NilClass,Indonesia
126,26,8/1/2026,26,8,117.23,error: undefined method `first' for nil:NilClass,France
127,27,8/5/2026,27,16,2.34,error: undefined method `first' for nil:NilClass,Philippines
128,28,8/7/2026,28,7,473.42,error: undefined method `first' for nil:NilClass,Sweden
129,29,8/3/2026,29,20,494.17,error: undefined method `first' for nil:NilClass,China
,30,8/1/2026,30,16,818.69,error: undefined method `first' for nil:NilClass,Poland
131,31,8/1/2026,31,17,669.97,error: undefined method `first' for nil:NilClass,Colombia
132,32,8/6/2026,32,6,860.5,error: undefined method `first' for nil:NilClass,Portugal
133,33,8/5/2026,33,15,244.06,error: undefined method `first' for nil:NilClass,Russia
134,34,8/4/2026,34,1,36.67,error: undefined method `first' for nil:NilClass,China
135,35,8/7/2026,35,1,745.94,error: undefined method `first' for nil:NilClass,China
136,36,8/4/2026,36,9,709.81,error: undefined method `first' for nil:NilClass,Canada
137,37,8/5/2026,37,12,25.1,error: undefined method `first' for nil:NilClass,Indonesia
138,38,8/3/2026,38,6,644.23,error: undefined method `first' for nil:NilClass,South Korea
139,39,8/5/2026,39,1,266.27,error: undefined method `first' for nil:NilClass,Vietnam
140,40,,40,18,911.87,error: undefined method `first' for nil:NilClass,Indonesia
141,41,8/2/2026,41,14,174.19,error: undefined method `first' for nil:NilClass,China
142,42,8/4/2026,42,12,361.19,error: undefined method `first' for nil:NilClass,Morocco
,43,8/4/2026,43,12,350.42,,Libya
,44,8/2/2026,44,14,3.9,error: undefined method `first' for nil:NilClass,Sierra Leone
145,45,,45,9,332.57,error: undefined method `first' for nil:NilClass,
146,46,8/4/2026,46,2,59.27,error: undefined method `first' for nil:NilClass,China
147,47,8/6/2026,47,15,543.27,error: undefined method `first' for nil:NilClass,China
148,48,8/4/2026,48,4,95.51,error: undefined method `first' for nil:NilClass,Peru
149,49,8/3/2026,49,6,549.39,error: undefined method `first' for nil:NilClass,
150,50,8/4/2026,,,785.08,error: undefined method `first' for nil:NilClass,Brazil
,51,8/1/2026,51,3,396.77,error: undefined method `first' for nil:NilClass,Bulgaria
152,52,8/5/2026,52,15,915.66,error: undefined method `first' for nil:NilClass,Portugal
153,53,8/6/2026,53,20,885.64,error: undefined method `first' for nil:NilClass,Egypt
,54,8/2/2026,54,19,111.74,error: undefined method `first' for nil:NilClass,China
155,55,,55,14,101.89,error: undefined method `first' for nil:NilClass,Indonesia
156,56,8/3/2026,,16,817.26,error: undefined method `first' for nil:NilClass,Indonesia
157,57,8/2/2026,57,14,949.52,error: undefined method `first' for nil:NilClass,Indonesia
158,58,8/1/2026,58,14,,error: undefined method `first' for nil:NilClass,Russia
159,59,8/2/2026,59,5,349.33,,France
160,60,8/7/2026,,15,945.05,error: undefined method `first' for nil:NilClass,Poland
,61,8/1/2026,61,12,616.74,error: undefined method `first' for nil:NilClass,Wallis and Futuna
,62,8/5/2026,62,18,186.08,error: undefined method `first' for nil:NilClass,Portugal
163,63,8/7/2026,63,11,224.64,error: undefined method `first' for nil:NilClass,Philippines
164,64,8/6/2026,64,15,239.52,error: undefined method `first' for nil:NilClass,Philippines
165,65,8/6/2026,65,3,269.78,error: undefined method `first' for nil:NilClass,Bangladesh
166,66,8/4/2026,66,15,940.89,error: undefined method `first' for nil:NilClass,Philippines
167,67,8/6/2026,67,15,122.22,error: undefined method `first' for nil:NilClass,Albania
168,68,8/1/2026,68,10,225.61,error: undefined method `first' for nil:NilClass,China
169,69,8/3/2026,69,2,611.19,error: undefined method `first' for nil:NilClass,
