order_id,customer_id,date,time,order_timestamp,product_id,quantity,unit_price,status,country
3001,1,8/1/2026,4:39:38,8/1/2026 4:39:38,1,4,105.88,active,
3002,2,8/6/2025,16:09:54,8/6/2025 16:09:54,2,11,939.24,cancelled,China
3003,3,4/17/2026,3:05:08,4/17/2026 3:05:08,3,17,51.42,on hold,Colombia
3004,4,1/29/2026,10:23:59,1/29/2026 10:23:59,4,18,477.64,inactive,Philippines
3005,5,9/3/2025,2:05:43,9/3/2025 2:05:43,,4,780.51,archived,Brazil
3006,6,1/26/2026,21:32:34,,6,13,859.71,,Brazil
3007,7,4/17/2026,8:15:07,4/17/2026 8:15:07,7,20,531.01,suspended,Brazil
3008,8,3/26/2026,21:11:20,3/26/2026 21:11:20,8,7,381.04,active,Nicaragua
3009,9,5/9/2026,3:11:53,5/9/2026 3:11:53,9,17,774.31,pending,Philippines
3010,10,12/22/2025,18:25:32,12/22/2025 18:25:32,10,7,10.03,in progress,France
3011,11,5/18/2026,3:44:42,5/18/2026 3:44:42,11,10,289.37,completed,Armenia
3012,12,2/22/2026,11:07:19,2/22/2026 11:07:19,12,,,on hold,Mali
3013,13,7/6/2026,9:52:43,7/6/2026 9:52:43,13,5,354.79,suspended,
3014,14,11/15/2025,4:01:15,11/15/2025 4:01:15,14,11,739.64,suspended,Brazil
3015,15,8/8/2025,5:08:12,8/8/2025 5:08:12,15,6,317.98,suspended,China
3016,16,11/16/2025,0:24:42,11/16/2025 0:24:42,16,2,346.48,suspended,Poland
3017,17,1/18/2026,2:41:13,1/18/2026 2:41:13,17,5,768.69,resolved,Russia
3018,18,9/20/2025,14:13:48,9/20/2025 14:13:48,18,5,719.06,resolved,Indonesia
3019,19,7/13/2026,7:39:46,7/13/2026 7:39:46,19,17,84.27,completed,Russia
,20,12/12/2025,1:21:47,12/12/2025 1:21:47,20,9,680.59,inactive,Zambia
3021,21,3/22/2026,20:04:30,3/22/2026 20:04:30,21,11,847.74,active,China
3022,22,2/28/2026,21:39:04,2/28/2026 21:39:04,22,10,607.55,pending,Indonesia
3023,23,10/2/2025,20:09:47,10/2/2025 20:09:47,23,9,48.43,inactive,Russia
3024,24,9/11/2025,20:51:59,9/11/2025 20:51:59,24,7,655.62,inactive,China
3025,25,10/7/2025,3:48:33,10/7/2025 3:48:33,25,14,170.1,pending,Ghana
3026,26,12/11/2025,11:34:57,12/11/2025 11:34:57,26,20,18.22,inactive,Myanmar
3027,27,10/22/2025,18:04:26,10/22/2025 18:04:26,27,,685.36,archived,Canada
3028,28,11/19/2025,13:48:57,11/19/2025 13:48:57,28,19,980.41,completed,Sweden
3029,29,4/22/2026,7:53:54,4/22/2026 7:53:54,29,17,397.23,resolved,Indonesia
